count,x distance,y distance,theta
1.0,0.11598699855529626,3.609492658130777,0.41252223936599447
2.0,0.17911753087051616,8.149266201186217,0.16991931482925385
3.0,0.23898378318121286,12.737889955507487,0.1190156817218349
4.0,0.21084992892839177,17.34833632600491,-0.32000274313232996
5.0,0.14139234457233027,21.860613695588654,-0.6478914355530729
6.0,0.08814906312914615,26.235929013929493,-0.9166094824599444
7.0,0.05762822212912269,30.474354774808585,-0.9197986882444679
8.0,0.0769388092038426,34.66148782772422,-0.7725081086973331
9.0,-0.016394799681453118,38.86810579113517,-0.7613792399194279
10.0,-0.023391139226825404,43.049277624606674,-0.409828058882749
11.0,-0.027681905290686967,47.29580300241355,-0.014805265894813483
12.0,-0.047446953046426536,51.454203131455834,0.20951256873176696
13.0,-0.05612268775284375,55.609180255059044,0.3391831739519277
14.0,0.012220900519983027,59.563562363909284,0.7321767868219625
15.0,0.05729952130938648,63.68202139265442,0.8799144308050131
16.0,0.20104469834237815,67.77219462553536,1.4124492514211453
17.0,0.2665173748942811,71.88610987919508,1.5215801695261841
18.0,0.3637284063888174,75.97290802157906,1.5572693893171357
19.0,0.5061314230954466,80.0047139638472,1.7970570913672608
20.0,0.6834078180566472,84.04846540170092,2.149917234396082
21.0,0.8679820614250481,88.21095569090117,2.2444744863894726
22.0,1.0147181858658474,92.23428155130856,2.390801125421144
23.0,1.2097353709315362,96.21329590336268,2.4576044995837014
24.0,1.3455474641696634,100.28134961232729,2.2020733802470995
25.0,1.4100346989603525,102.34856751065175,2.2082383208222267
26.0,1.4100346989603525,102.34856751065175,2.2082383208222267
27.0,1.4100346989603525,102.34856751065175,2.2082383208222267
28.0,1.4100346989603525,102.34856751065175,2.2082383208222267
29.0,100,102.34,2.2
