count,x distance,y distance,theta
44.0,-11.155815210137257,6.377030797593682,-303.7242688332076
45.0,-6.182454543175217,12.966817672708231,-312.5480309549899
46.0,-2.1278484115348357,20.349587206158986,-321.7948170700886
47.0,0.7320360707997005,28.31259286319837,-330.6049646570997
48.0,5.165716134230167,37.330529833356344,-332.0390667172359
49.0,10.233699775199954,46.7203178993502,-331.38478168371773
50.0,15.685598464300243,56.70515042879803,-331.6826342096582
51.0,20.95196279607424,66.7875109583777,-331.2856404380906
52.0,26.211503022605868,76.49644696984384,-331.0277223419934
53.0,32.451623398865216,83.39763800910043,-323.01895038331304
54.0,39.34287485601917,88.33344742559778,-314.4033207060236
55.0,46.92467364968975,92.04393724775825,-305.0149259537383
56.0,55.09936529630367,94.50185295776504,-295.27985832033033
57.0,63.41410522147567,95.45950861296119,-286.1084652893485
58.0,71.69370418269804,94.97449108693372,-277.69562055205404
59.0,80.15684652762931,93.39058696767545,-268.14097326360564
60.0,88.05097111890254,90.69513798020562,-259.8922320406109
61.0,95.46132969247962,86.54029648310635,-250.19519473171778
62.0,102.05841513458097,81.35091933872418,-241.1051551982797
63.0,107.76687744124499,75.15370173736981,-232.31585161859005
64.0,116.20497048224496,68.2552181503605,-231.21411005947107
65.0,125.10376031269367,61.016980973020665,-230.51602281161712
66.0,133.8536334252349,53.65788165448166,-230.562920120582
67.0,142.66163734472335,46.13228721199898,-230.14341458890948
68.0,151.23369192116834,38.83284480803324,-229.45862975688638
69.0,159.6910983785843,31.58366926266007,-229.66643994051267
70.0,167.91424473263694,24.379716686268118,-227.78551725278942
71.0,172.2398994413438,16.671752710933628,-218.0091925578786
72.0,175.03208162650827,8.4588711324679,-208.3076358319751
73.0,176.53377544159156,-0.2792432384193917,-198.3112709049641
74.0,176.54948438746442,-9.0677127166755,-188.25230529647698
75.0,174.88526488306368,-17.913198983740408,-178.49955520252516
76.0,171.86566230063877,-26.008864293732945,-169.292478742198
77.0,167.37706546309306,-33.74394219165229,-159.4024876860286
78.0,161.74108954035054,-40.42919878899793,-149.17067500378087
79.0,155.52307858035635,-48.20832897182571,-144.69208830004456
80.0,149.3179637430765,-56.35456766909869,-138.0724128841349
81.0,142.08204777854084,-63.98267687410088,-135.01771910825912
82.0,134.22224914065052,-71.67429915753713,-133.50978071096165
83.0,126.11927799005429,-79.154658810628,-133.70165275944058
84.0,117.97776530341513,-86.56204104212075,-133.38029701516066
85.0,109.7051526549346,-94.27401683317615,-133.1749446589339
86.0,101.42343964098306,-101.59205203255192,-132.2904370941638
87.0,92.77633189013632,-109.18790365092995,-131.60133230022663
88.0,86.9545320235055,-116.86295743398657,-138.0630419574114
89.0,83.4861763751472,-125.22912736771933,-148.28170445771485
90.0,81.57172953628202,-134.13942135891784,-158.06176404824006
91.0,81.1702293321016,-143.1343359928953,-168.36285588453356
92.0,82.28906822372335,-151.8549068964181,-177.37443765477343
93.0,84.93395868199505,-160.4214646057237,-186.08706321326065
94.0,88.76814113905425,-168.36594874731546,-196.1130774476228
95.0,93.86990931561776,-175.691728717902,-206.05362909223638
96.0,100.11432165230875,-181.96697487873905,-215.52067308156074
97.0,107.37568191699648,-187.24005537690016,-224.91218098512945
98.0,115.2544815585275,-191.03213004405458,-234.5757382467078
99.0,123.84715557288168,-193.42983366092616,-243.90424000177603
100.0,132.57837750434197,-194.54549221358442,-253.46665195818366
101.0,141.64671961730807,-194.154467691952,-263.082322290037
102.0,150.43509194870282,-192.25909038268213,-272.88656322229866
103.0,158.85780250621585,-188.82747024218534,-282.4769439383483
104.0,166.4313578483188,-183.97840599506722,-292.7357044746146
105.0,173.17850929823445,-178.03011730441045,-302.5699697333929
106.0,178.61944062051586,-171.34540927307052,-311.7742625858077
107.0,183.07428887626767,-163.34176614442973,-321.7150022823781
108.0,186.04745919397664,-154.79244149176762,-331.14349583497045
109.0,187.48660949348923,-145.8664158579677,-341.477031326063
110.0,187.364352032066,-136.9528554345606,-351.2683017329163
111.0,185.9335382883891,-128.05344884661957,-360.10316531363634
112.0,182.9104144332519,-119.47510717294207,-370.29422711552434
113.0,178.35026603669237,-111.4435103362147,-380.5149263087487
114.0,172.73720686700608,-104.46582920943649,-390.35632742300095
115.0,165.8252869258437,-98.45632008071841,-400.1134524645466
116.0,158.0254756713134,-93.69978685369969,-409.53119733208507
117.0,149.7054462790007,-90.37212244385884,-419.01525215806896
118.0,140.93960985101072,-88.51392546667262,-428.64653081001677
119.0,132.10863188571895,-88.04220538356715,-438.379039370476
120.0,123.22313280075879,-89.0322223360253,-447.80247921343545
121.0,114.32439632418827,-91.7309268411502,-457.5482514236071
122.0,107.33924542430853,-95.16390091727702,-465.9573679728413
