count,x distance,y distance,theta
10.0,0.040940909603108894,3.5762517368206326,0.2036555918951584
20.0,0.045185859876018405,8.615382229826993,0.42532048216389057
30.0,0.07910821468264209,13.600378077807537,0.5976403052246863
40.0,0.10960784585333713,18.499829780089435,0.5856064768965634
50.0,0.11604203330877493,23.188711087171587,0.5325476804328033
60.0,0.1660667079781795,27.71114077591116,0.7433805981736963
70.0,0.22372356603225657,32.23305157609582,0.9177977064670934
80.0,0.27990733130379747,36.762999798387646,0.7808842786426017
90.0,0.3843975871824673,41.26446843238575,0.9801655684185404
100.0,0.2311317999349309,45.48631877438485,0.16257810699147496
110.0,-0.7327426964991186,48.923982609993494,-3.694823957373375
120.0,-2.022741455753751,52.309582060488296,-7.879479681397753
130.0,-3.456179339974233,55.41159751386804,-11.773243119857998
140.0,-5.1933256476121334,58.558222549240455,-16.091660510974872
150.0,-7.126377310694963,61.50262518575484,-20.21211225872409
160.0,-9.273104985309452,64.26927182169504,-24.604117141118373
170.0,-11.689486302448952,66.94719063320667,-29.056463029114525
180.0,-14.147426132839323,69.30879860331163,-33.11078278543289
190.0,-16.807965720360542,71.54900588326895,-37.086381611432486
200.0,-19.65629096963247,73.61300421932437,-41.05372164798592
210.0,-22.76421445429898,75.48784234700456,-45.467385987411085
220.0,-25.94880472206182,77.11616516780803,-49.66853666671042
230.0,-29.360923262914646,78.54609729740471,-54.095653434091375
240.0,-32.844831938229916,79.68818538532004,-58.628584254732004
250.0,-36.31240580855346,80.55028586195921,-63.08031346810368
260.0,-39.879200446158386,81.16386602899712,-67.43519989868848
270.0,-43.3881956280043,81.51902803719831,-71.49304031758714
280.0,-47.02214132689411,81.56896463392839,-75.7863549728862
290.0,-50.70496582344677,81.36262904455205,-80.18270913560943
300.0,-54.38211708859323,80.89075311805236,-84.5918260539886
310.0,-58.04600248063723,80.12611276817672,-89.09249024807838
